mean	stdev	OPN	EXT	CSN	EST	AGR
0.245938	0.430642	-0.0119384	-0.154922	-0.110466	0.0286881	0.0885801
0.196156	0.397088	-0.0508081	-0.0228337	-0.0608602	-0.0556491	0.0229786
0.284261	0.451062	0.0740405	0.0481464	0.0249257	-0.0281507	-0.0231322
0.188743	0.391304	-0.0407131	0.100516	0.0822125	0.00377294	-0.0646839
0.0794827	0.270491	0.0276689	0.0550394	0.1027	0.0769516	-0.0431994
0.206929	0.405105	0.013363	0.102657	0.12744	0.0930084	-0.0967946
0.231969	0.42209	-0.0417458	0.072189	0.0150645	-0.0368831	-0.0412093
0.240986	0.427682	0.0618728	-0.0156106	-0.0159296	-0.0412742	0.0100708
0.187342	0.390186	-0.0389625	-0.0567014	-0.0789073	-0.0487395	0.0612275
0.12501	0.33073	0.00154656	-0.129688	-0.0638495	0.0435657	0.0852176
0.0755707	0.26431	-0.0294408	-0.137659	-0.0191222	0.0561941	0.0408835
0.188826	0.391371	-0.0730782	-0.111774	-0.0715321	-0.0304145	0.029088
0.265069	0.44137	0.0627465	-0.0359819	-0.0136015	-0.0522585	0.000612491
0.279831	0.448916	-0.0242967	0.102765	0.0163272	-0.052204	-0.0270025
0.182964	0.386637	0.0492589	0.129709	0.0798765	0.1123	-0.0272346
0.10049	0.300653	0.0110947	0.0881993	0.111304	0.0971125	-0.0314604
0.205039	0.40373	-0.0435698	0.108137	0.0654303	-0.0128691	-0.0459118
0.275928	0.446981	0.0929564	0.0216444	0.0324641	-0.0426671	-0.0220931
0.253263	0.43488	-0.0563754	-0.0575178	-0.0969743	-0.065513	0.0424052
0.156736	0.363551	-0.00913654	-0.149735	-0.091495	0.0642978	0.0524161
0.0969704	0.295917	-0.0194291	-0.142295	-0.0349976	0.0430647	0.0740477
0.175811	0.380659	-0.0528608	-0.0901937	-0.0700564	-0.0449395	0.0553775
0.23092	0.421422	0.0723152	-0.029236	-0.0210017	-0.0511775	0.0111862
0.294693	0.455905	-0.0355919	0.0951152	0.019142	-0.0490784	-0.0465194
0.190216	0.392471	0.0274247	0.116438	0.0920822	0.122442	-0.06807
0.26254	0.440015	-0.0381624	0.0977724	0.0792974	0.12385	-0.062182
0.333088	0.471318	-0.060334	0.0655342	-0.0256865	-0.0710495	-0.0272831
0.188516	0.391124	0.10107	-0.0373477	-0.0025287	-0.0486937	0.022148
0.137431	0.344301	-0.00489896	-0.0816011	-0.05303	-0.0449559	0.0525925
0.0705792	0.256121	0.0266718	-0.120624	-0.0174604	0.0520636	0.0513083
0.233217	0.422879	-0.0251631	-0.171396	-0.0961979	0.038369	0.0861285
0.224346	0.417151	-0.0410844	-0.0273769	-0.0586397	-0.0698669	0.0239199
0.191883	0.393782	0.0747644	0.0279337	0.0260915	-0.0352976	-0.015827
0.194392	0.395732	-0.0308031	0.0971514	0.0462475	-0.0259596	-0.044755
0.14635	0.353457	0.0278649	0.0984162	0.100603	0.104456	-0.0643767
0.076984	0.266566	0.00291114	0.0313659	0.0885174	0.0819842	-0.0199765
0.173103	0.378337	-0.0575616	0.0794303	0.0872895	-0.00456413	-0.0532326
0.226487	0.418558	0.0658604	0.0489279	0.073037	-0.0284441	-0.035935
0.270799	0.444372	-0.0413783	-0.00225343	-0.0718877	-0.0751289	0.0239379
0.244595	0.429847	0.0263064	-0.133788	-0.130784	0.0580541	0.0686077
0.170742	0.376283	0.033206	-0.135365	-0.108603	0.045019	0.0615907
0.217979	0.412873	-0.0251644	-0.0379912	-0.089859	-0.0598643	0.0258993
0.211712	0.408522	0.0719457	0.020602	0.0178164	-0.0378341	-0.00355625
0.238649	0.426258	-0.066469	0.0840169	0.0576676	-0.0335679	-0.0372079
0.152421	0.359428	-0.0104208	0.0633219	0.12534	0.103826	-0.0470263
0.0753481	0.263952	0.0194566	0.0741943	0.0978083	0.0949283	-0.0201957
0.15589	0.362751	-0.0338337	0.106275	0.0676206	0.00137727	-0.0399082
0.188458	0.391077	0.0657718	0.0567613	0.0516128	-0.0270005	-0.0224175
0.264184	0.440898	-0.0369544	0.00265173	-0.0443486	-0.0781414	0.0163421
